123,124
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax,1.0,1.0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae,1.0,1.0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae,2.0,2.0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Laribacter|Laribacter hongkongensis,2.0,2.0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas hydrophila,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax|Variovorax paradoxus,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales,2.0,2.0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales,1.0,1.0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Laribacter,2.0,2.0
